name,star,comment,class,address,latitude,longitude
安安企業股份有限公司,0.0,0,商店,新北市三重區仁華街80巷13號,25.0834744,121.4846851
正愛廚具,3.7,12,家居用品店,新北市三重區正義北路217號,25.0687421,121.4961599
佳瑪百貨股份有限公司,4.3,8,購物中心,台灣蘆洲區長榮路8號,25.0819914,121.4641818
全聯福利中心 三重永福,4.0,835,超級市場,新北市三重區三和路四段380號B1,25.0787415,121.4825375
家樂福超市 三重仁愛店,4.1,96,超級市場,新北市三重區仁愛街285號,25.0790405,121.4926167
美廉社 三重車路頭店,4.1,70,超級市場,新北市三重區車路頭街62巷5號,25.0726244,121.4840105
宏匯廣場,4.1,16,百貨公司,新北市新莊區新北大道四段3號,25.0596333,121.4495139
佳瑪 蘆洲店,4.2,3,百貨公司,新北市蘆洲區長榮路8號,25.0820438,121.4641337
廣達欣有限公司,0.0,0,百貨公司,台灣新北市 中和區中正路780號,25.0006095,121.4853825
天之娟有限公司,0.0,0,百貨公司,新北市中和區安邦街33號1樓,24.9978719,121.4963096
台灣咕魯購股份有限公司,0.0,0,百貨公司,新北市中和區中和區連城路389巷4號1樓,24.9958563,121.4864399
生活好市吉-五股店,5.0,1,百貨公司,新北市五股區新五路二段69號-8號,25.0735566,121.4364939
億萬里五金百貨五股店,4.2,609,百貨公司,新北市五股區五工六路13號,25.0619759,121.4501293
寶雅國際股份有限公司五股工商店傳真,5.0,2,百貨公司,台灣省新北市 五股區工商路90號1樓,25.0853325,121.4379012
振恩百貨有限公司,5.0,1,商店,新北市五股區西雲路252巷1號,25.0971394,121.4491189
文正百貨企業有限公司,5.0,2,商店,台灣五股區五工二路111號,25.069116,121.4562658
大群生活百貨凌雲店,4.2,44,平價超級市場,新北市五股區凌雲路一段69號,25.101036,121.4510478
有妮斯道具,3.7,3,百貨公司,新北市五股區天乙路101號,25.1093034,121.4456062
睿取工程有限公司,4.5,2,家居用品店,新北市五股區壟鉤路14-8a號,25.0862036,121.4152856
久久生活館(五工店),4.7,11,百貨公司,新北市新莊區五工三路94巷3號,25.0658715,121.4581875
晉茂五金超商-五股店,3.4,109,五金用品店,新北市五股區中興路一段32號,25.0726194,121.4686554
s1,0.0,0,百貨公司,新北市新莊區新北大道四段三號,25.0578629,121.4444583
得利安有限公司,4.1,19,超級市場,新北市五股區成泰路三段577巷36號,25.1030499,121.4512248
振宇五金 五股店,4.5,281,五金用品店,新北市五股區芳洲八路178號,25.0890772,121.4464416
港富五金 (五股店),4.3,31,五金用品店,新北市五股區五工五路45號,25.0660079,121.4502254
台灣屈臣氏個人用品商店股份有限公司,0.0,0,百貨公司,新北市新莊區五權一路48號1樓,25.0657108,121.4578616
晶冠廣場,3.9,4,購物中心,新北市新莊區五工路66號,25.0637199,121.4584923
穎鴻食品,0.0,0,商店,新北市五股區中興路一段179巷2號,25.0736894,121.464282
聖池太團購行,0.0,0,購物中心,新北市五股區凌雲路三段28-10號,25.1057979,121.4317661
SHOWBA小北百貨-新北泰山仁愛店,4.5,372,五金用品店,新北市泰山區仁愛路155號157號,25.0563328,121.4345099
鑫記五金行,4.6,35,五金用品店,新北市五股區工商路147號,25.086426,121.4350522
鑫亞五金有限公司,4.2,17,五金用品店,新北市五股區中興路一段71號,25.0725877,121.4675369
灶師傅(鉅馥事業有限公司),4.6,29,家居用品店,新北市五股區中興路三段186號之2號,25.0815288,121.4444215
成州金成發商店,5.0,2,五金用品店,新北市五股區成泰路三段515號1樓,25.1006954,121.4513188
美安SHOP.COM經銷商 八里,0.0,0,百貨公司,新北市八里區中山路二段365號11樓,25.147029,121.3987997
統友生活百貨 - 八里店 (大龍大賣場),4.2,426,家居用品店,新北市八里區里華峰一街27-1 號,25.1466246,121.3993536
兆亨家庭用品百貨批發,4.4,229,購物中心,新北市八里區荖阡坑路7鄰24-12號,25.1379603,121.4002015
